电台ID,电台名称,电台描述,封面图,所属省份,所属城市,所属分类,直播流ID,更新时间
266,上海交通广播电台,上海交通广播（FM105.7、AM648）成立于1991年9月30日，是中国第一家交通广播，也是上海市政府命名的上海应急广播，覆盖人群超过1亿。频率通过节目、活动和新媒体相互联动，为受众提供“有用，有心，有趣”的贴身服务。,http://pic.qtfm.cn/sso/48/1641437453117_JxQnTn1vv.jpeg,上海,上海市,交通台,,2026/7/6 15:00
267,上海经典947,中国内地唯一一套专业经典音乐广播频率，节目内容以古典音乐为主，日播出量为19个小时，中国和欧美老歌、轻音乐、跨界音乐各占相当比例。,http://pic.qtfm.cn/sso/48/1641437907698_k0NNOUP54.jpeg,上海,上海市,音乐台,,2026/7/6 15:00
269,上海戏曲广播,上海电台戏剧曲艺广播有着悠久传统，一向执着于弘扬戏曲艺术。戏剧曲艺广播力足戏曲欣赏，保留了一大批有着二十多年、甚至五十多年历史的老品牌。,http://pic.qtfm.cn/sso/48/1641437758835_67As1roa7.jpeg,上海,上海市,曲艺台,,2026/7/6 15:00
270,上海新闻广播,上海人民广播电台，中国最具实力的新闻广播频率之一，“影响中国十大广播电台”，以全球视野、表达上海观点。新闻热线021—62706270。,http://pic.qtfm.cn/2015/0202/20150202170847551.jpg,上海,上海市,资讯台,,2026/7/6 15:00
273,上海流行音乐LoveRadio,LOVE RADIO 103.7FM是上海SMG旗下的广播流行音乐频率，努力倡导优质音乐慢生活，更关注都市人的生活需要和内心满足 ，并激发都市人的音乐热情，同时也是上海最早的音乐电台！,http://pic.qtfm.cn/2014/0909/20140909125130474.jpg,上海,上海市,音乐台,,2026/7/6 15:00
274,上海动感101,“动感101”(FM101.7)，每天20小时播放最新、最精彩的流行音乐，《东方风云榜》新歌推荐，更是为目标受众群打造贴身服务。,http://pic.qtfm.cn/2014/0909/20140909123511693.jpg,上海,上海市,音乐台,,2026/7/6 15:00
275,长三角之声,长三角之声，是习总书记在首届进博会上，将长三角一体化上升为国家战略后，上海认真贯彻和积极践行的“结果”。这个频率将紧紧围绕长三角区域的发展、创新、文化、生活等内容，以“直播、现场、交互”为关键词，将视野投向火热的长三角地区和生活在长三角的人。既注重国际视野、又强调弘扬中国传统文化，彰显人文情怀，努力为听众呈现了一个更为立体化的中国长三角。,http://pic.qtfm.cn/sso/198/1606449636209_K8-0Zavn2.png,上海,上海市,资讯台,,2026/7/6 15:00
276,第一财经广播,第一财经广播是全国最具影响力的专业财经特色广播频率，主要有财经资讯、金融证券、经济生活服务等三大类节目，全天播出16小时。,http://pic.qtfm.cn/sso/48/1641438475219_mv9SoJP78.jpeg,上海,上海市,经济台,,2026/7/6 15:00
332,北京音乐广播,北京音乐广播（调频97.4兆赫、有线调频94.6兆赫）是北京人民广播电台所属十个专业广播之一，是北京上空收听率最高的综合音乐电台。,http://pic.qtfm.cn/2017/0424/20170424025444.jpeg,北京,北京市,音乐台,,2026/7/6 15:00
333,北京文艺广播,"娱乐调频87.6北京文艺广播创建于1994年4月1日，是北京人民广播电台八个专业系列台之一。 北京文艺广播作为北京最具广泛影响力与传播力的强势媒体之一，在广播总体人群中,市场占有率位居北京广播市场第二位；居家人群中，市场占有率排名首位。广泛的听众群和较高的听众忠实度，使文艺广播的综合实力位居北京广播市场前列。",http://pic.qtfm.cn/sso/198/1631520087008_cMpTFBNNx.jpeg,北京,北京市,文艺台,,2026/7/6 15:00
335,北京体育广播,体育广播对外呼号：北京人民广播电台体育广播。使用频率FM102.5、AM927、CABLE FM92.7。每日播音19小时（每日05：55开始播音，次日1：00播音结束；每周四15：00－16：00、周二0:00－1:00停播检修）。,http://pic.qtfm.cn/sso/198/1631520307064_Vedy5KORW.jpeg,北京,北京市,体育台,,2026/7/6 15:00
336,北京交通广播,      交通台全天节目由以下内容构成：新闻、服务信息、知识性、服务性、娱乐性专题。新闻节目立足北京，通过新闻网络，全方位关注世界范围内的与交通相关的动态。整点、半点、播报路况信息，重要信息随时插播，整点报告天气情况。专题节目为听众介绍衣食住行方面的知识，提供娱乐信息。,http://pic.qtfm.cn/2019/0227/20190227023249.png,北京,北京市,交通台,,2026/7/6 15:00
339,北京新闻广播,北京新闻广播是以新闻为特色的专业广播频率，也是北京人民广播电台的主体频率，拥有北京电台最庞大的新闻采编播专业团队，通过调频94.5兆赫、中波828千赫全天24小时播出。2019年，北京新闻广播推出《假日节拍》、《乐享下午茶》、《周末赛场》、《北京的声音》等一系列新节目，致力于打造具有都市风格、时尚气息、鲜明个性、融媒体特色的新闻+脱口秀广播频率。,http://pic.qtfm.cn/2015/0514/2015051417385422.jpg,北京,北京市,资讯台,,2026/7/6 15:00
345,北京城市广播,北京城市管理广播是全国第一家以城市管理和服务为主要内容的广播电台，以北京广大市民以及从事城市管理的工作人员为目标听众和服务对象，在市政府各职能部门的支持下，以亲民、便民的节目风格，发布城市管理的信息、解读相关政策，为市民解释疑惑。,http://pic.qtfm.cn/2015/0313/20150313190104234.jpg,北京,北京市,都市台,,2026/7/6 15:00
468,广东南方生活广播,南方生活广播是广东广播电视台频率之一，作为华南地区唯一一家以“传播岭南文化、倡导健康生活”为定位，以中老年群体为目标受众的省级电台。,http://pic.qtfm.cn/2021/0519/20210519030711.jpeg,广东,,生活台,,2026/7/6 15:00
469,广东城市之声,广东广播电视台城市之声的节目以丰富多样性和都市色彩为特征，每天24小时不停放送，力求多角度、多层面地为广大听众提供高品位的节目欣赏。,http://pic.qtfm.cn/2020/0402/20200402042931.png,广东,广州市,综合台,,2026/7/6 15:00
470,广东广播电视台珠江之声,中国首家跨境广播 珠江之声面向粤港澳三地，定位“声动大湾区”，宣传党和国家大政方针，展示粤港澳大湾区建设发展成就，为广大群众提供丰富优质的信息资讯服务。,http://pic.qtfm.cn/2022/0729/20220729092142.jpeg,广东,深圳市,音乐台,,2026/7/6 15:00
471,广东广播电视台文体广播,广东文体广播，完美地将文化娱乐与体育相结合，是华南第一家都会型具有鲜明文化、体育特色的专业电台，为听众提供最新、最快的文化、体育、生活、娱乐、音乐等信息。虽然作为广播的一支新生力量，但却拥有一支团结、新锐、战斗旺盛的团队。,http://pic.qtfm.cn/sso/198/1567411393720_vdCUW70Lt.jpeg,广东,广州市,体育台,,2026/7/6 15:00
647,重庆音乐广播,重庆收听率第一的音乐电台 ~~ 就是喜欢听 风尚881！,http://pic.qtfm.cn/2022/1130/20221130104320.jpeg,重庆,重庆市,音乐台,,2026/7/6 15:00
837,哈尔滨经济广播,哈尔滨经济广播电台成立于1992年，AM972和FM88.9双频发射，有效覆盖人口达1000万以上。以关注百姓民生，服务百姓生活为出发点，突出财经专业服务特色，是黑龙江省唯一的专业经济广播电台，参与电话：0451—87997399！,http://pic.qtfm.cn/2019/0306/20190306114349.png,黑龙江,哈尔滨市,经济台,dd5261fd2796989e56842c81cae08280,2026/7/6 15:00
838,哈尔滨交通广播,这里是哈尔滨交通台，热线电话：82119002   87997337 ,http://pic.qtfm.cn/2018/0103/20180103014457.jpeg,黑龙江,哈尔滨市,交通台,,2026/7/6 15:00
